Timestep1X;Timestep1Y;Timestep2X;Timestep2Y;Timestep3X;Timestep3Y;Timestep4X;Timestep4Y;Timestep5X;Timestep5Y;Timestep6X;Timestep6Y;Timestep7X;Timestep7Y;Timestep8X;Timestep8Y;Timestep9X;Timestep9Y;Timestep10X;Timestep10Y;Timestep11X;Timestep11Y;Timestep12X;Timestep12Y;Timestep13X;Timestep13Y;Timestep14X;Timestep14Y;Timestep15X;Timestep15Y;Timestep16X;Timestep16Y;Timestep17X;Timestep17Y;Timestep18X;Timestep18Y;Timestep19X;Timestep19Y;Timestep20X;Timestep20Y;Timestep21X;Timestep21Y;Timestep22X;Timestep22Y;Timestep23X;Timestep23Y;Timestep24X;Timestep24Y;Timestep25X;Timestep25Y;Timestep26X;Timestep26Y;Timestep27X;Timestep27Y;Timestep28X;Timestep28Y;Timestep29X;Timestep29Y;Timestep30X;Timestep30Y;Timestep31X;Timestep31Y;Timestep32X;Timestep32Y;Timestep33X;Timestep33Y;Timestep34X;Timestep34Y;Timestep35X;Timestep35Y;Timestep36X;Timestep36Y;Timestep37X;Timestep37Y;Timestep38X;Timestep38Y;Timestep39X;Timestep39Y;Timestep40X;Timestep40Y;Timestep41X;Timestep41Y;Timestep42X;Timestep42Y;Timestep43X;Timestep43Y;Timestep44X;Timestep44Y;Timestep45X;Timestep45Y;Timestep46X;Timestep46Y;Timestep47X;Timestep47Y;Timestep48X;Timestep48Y;Timestep49X;Timestep49Y;Timestep50X;Timestep50Y;Timestep51X;Timestep51Y;Timestep52X;Timestep52Y;Timestep53X;Timestep53Y;Timestep54X;Timestep54Y;Timestep55X;Timestep55Y;Timestep56X;Timestep56Y;Timestep57X;Timestep57Y;Timestep58X;Timestep58Y;Timestep59X;Timestep59Y;Timestep60X;Timestep60Y
8;-41;7;-40;7;-39;8;-40;8;-40;9;-39;8;-40;7;-41;8;-40;7;-41;8;-42;8;-43;8;-44;7;-43;7;-43;7;-42;6;-43;5;-44;6;-45;7;-46;7;-46;7;-45;6;-44;7;-44;8;-43;9;-44;9;-45;9;-44;10;-44;11;-45;10;-44;10;-44;9;-44;10;-45;10;-44;9;-45;10;-45;11;-46;11;-45;10;-44;11;-43;10;-44;11;-45;10;-45;11;-46;10;-46;11;-45;11;-44;12;-43;11;-43;12;-43;13;-43;13;-43;14;-42;14;-41;13;-42;14;-43;13;-44;12;-44;11;-43
-36;-60;-35;-60;-34;-59;-35;-59;-34;-60;-33;-59;-34;-60;-35;-60;-36;-60;-35;-60;-34;-59;-34;-59;-33;-59;-32;-59;-33;-60;-32;-60;-33;-60;-32;-59;-31;-59;-30;-59;-31;-59;-30;-59;-30;-58;-29;-57;-29;-57;-30;-57;-29;-58;-29;-59;-28;-58;-27;-59;-28;-59;-27;-59;-26;-59;-25;-60;-25;-60;-25;-60;-25;-60;-26;-60;-27;-60;-28;-59;-27;-58;-27;-58;-26;-58;-27;-58;-26;-57;-25;-57;-24;-56;-25;-55;-24;-54;-24;-54;-25;-54;-24;-55;-24;-56;-23;-56;-23;-56;-22;-55;-21;-55;-22;-56;-22;-57;-23;-57
-58;11;-57;12;-57;11;-56;10;-56;10;-55;9;-54;8;-53;9;-54;8;-55;7;-55;8;-54;7;-55;7;-56;8;-57;9;-57;9;-57;8;-57;7;-56;7;-56;8;-55;8;-56;8;-55;7;-56;7;-56;7;-56;6;-55;7;-56;8;-57;7;-58;8;-59;8;-59;9;-58;8;-59;7;-60;6;-60;5;-59;6;-60;6;-60;5;-60;5;-59;4;-59;5;-60;6;-60;7;-60;7;-59;6;-58;5;-59;6;-58;7;-58;7;-57;6;-56;7;-55;8;-55;8;-56;8;-57;7;-58;7;-58;6;-57;7;-58;8
36;58;35;59;36;59;37;58;38;59;39;59;39;59;38;59;38;60;39;60;39;59;39;59;38;59;37;59;37;59;37;60;38;60;38;60;37;59;38;59;39;60;39;60;39;60;40;60;41;60;40;60;40;59;40;58;39;58;39;59;39;58;38;57;39;57;39;58;40;57;41;57;40;58;41;58;40;58;40;58;41;58;40;57;40;58;40;59;40;58;40;57;40;56;39;55;40;56;41;56;40;57;40;56;41;56;41;56;41;57;42;57;42;57;42;58;42;59;43;58
7;26;6;27;7;26;7;26;8;25;9;25;9;25;9;25;9;25;10;25;10;25;11;25;11;25;10;25;11;24;10;23;10;23;9;23;8;24;7;25;7;26;7;25;6;24;7;24;7;25;6;25;6;24;5;24;4;24;4;25;3;25;3;24;2;23;1;22;2;21;2;20;3;19;4;19;3;18;3;19;4;19;5;20;6;21;7;20;6;20;7;19;8;20;7;19;7;18;8;19;9;18;10;18;10;19;10;20;9;20;9;19;8;18;8;17;7;18;8;18
-36;2;-35;2;-36;1;-36;1;-35;0;-36;-1;-37;0;-37;0;-37;1;-37;2;-38;2;-38;2;-39;2;-38;2;-38;3;-39;3;-39;2;-39;3;-39;3;-40;2;-39;2;-39;3;-40;3;-39;2;-40;3;-41;4;-42;4;-41;5;-42;5;-41;5;-42;4;-43;4;-43;4;-42;5;-41;4;-40;5;-41;6;-42;5;-41;4;-40;5;-40;5;-41;5;-42;5;-42;6;-41;6;-42;5;-42;4;-41;3;-42;2;-41;1;-40;1;-40;1;-41;1;-40;1;-39;0;-40;-1;-39;0;-39;0;-39;-1;-40;-2
-41;6;-40;7;-41;6;-42;7;-42;7;-42;8;-43;9;-44;10;-45;9;-46;8;-46;9;-46;9;-47;8;-48;7;-49;6;-50;7;-49;8;-48;9;-49;8;-49;8;-50;7;-51;8;-51;7;-51;6;-52;6;-51;5;-50;6;-49;5;-48;5;-48;5;-48;6;-47;5;-48;6;-49;6;-50;6;-49;5;-48;4;-48;5;-47;4;-46;4;-45;5;-46;5;-46;6;-45;6;-46;7;-46;8;-45;9;-46;8;-45;7;-46;8;-45;9;-45;9;-46;10;-45;9;-45;10;-45;9;-44;10;-44;10;-45;9;-44;9
-27;-57;-28;-58;-29;-58;-29;-58;-29;-57;-30;-58;-31;-57;-32;-57;-31;-56;-30;-57;-30;-56;-29;-56;-28;-57;-29;-56;-29;-57;-28;-58;-27;-57;-26;-57;-26;-56;-26;-57;-25;-56;-25;-56;-25;-57;-25;-56;-24;-56;-24;-57;-25;-56;-25;-57;-25;-57;-24;-57;-25;-58;-25;-57;-24;-56;-24;-57;-25;-58;-24;-58;-25;-58;-24;-58;-23;-58;-24;-58;-24;-57;-25;-58;-24;-57;-25;-56;-26;-56;-27;-56;-26;-55;-25;-56;-24;-56;-25;-56;-26;-55;-25;-54;-25;-55;-25;-56;-26;-57;-26;-56;-26;-57;-26;-58;-26;-58;-27;-57
-35;-3;-35;-2;-34;-3;-34;-2;-34;-1;-35;0;-35;0;-35;1;-36;1;-37;1;-37;0;-37;0;-38;-1;-39;-2;-38;-3;-38;-2;-39;-2;-38;-1;-39;0;-39;0;-40;1;-40;2;-40;2;-40;2;-39;1;-40;1;-40;1;-41;0;-40;0;-40;0;-39;-1;-40;0;-40;-1;-40;0;-39;0;-39;0;-38;1;-39;2;-39;1;-38;1;-39;0;-38;1;-39;1;-40;1;-40;2;-39;3;-40;2;-39;2;-40;2;-39;3;-40;3;-41;4;-41;5;-41;5;-42;4;-41;5;-40;5;-40;4;-39;4;-40;4
-56;-36;-57;-35;-56;-34;-57;-35;-58;-35;-58;-35;-57;-34;-58;-33;-59;-32;-60;-33;-60;-33;-60;-34;-60;-35;-60;-35;-60;-34;-59;-34;-59;-35;-59;-35;-60;-36;-60;-37;-60;-37;-60;-38;-60;-39;-60;-40;-59;-40;-60;-40;-60;-41;-60;-41;-59;-42;-60;-42;-60;-43;-60;-42;-59;-43;-59;-42;-58;-43;-59;-42;-60;-43;-60;-42;-59;-42;-59;-42;-60;-43;-60;-43;-59;-43;-60;-43;-60;-44;-59;-45;-58;-46;-57;-46;-57;-45;-56;-46;-55;-45;-56;-46;-55;-45;-54;-46;-54;-46;-55;-45;-56;-46;-55;-46;-56;-46;-55;-47
38;-14;38;-15;38;-16;37;-17;36;-16;37;-17;38;-17;38;-17;37;-18;38;-18;39;-18;38;-19;39;-19;38;-19;37;-20;37;-21;37;-22;36;-22;37;-21;36;-22;37;-22;36;-21;36;-22;36;-21;37;-21;36;-21;35;-20;34;-21;33;-20;33;-20;33;-19;34;-19;35;-20;36;-19;37;-19;36;-18;36;-18;35;-17;34;-18;33;-18;34;-18;33;-17;34;-17;33;-18;32;-19;31;-20;32;-20;31;-21;30;-21;29;-22;28;-23;27;-22;26;-22;27;-22;26;-23;26;-23;25;-23;26;-24;26;-23;27;-22
0;-23;-1;-23;-2;-23;-1;-22;0;-22;1;-21;1;-22;2;-22;1;-21;1;-22;2;-22;1;-21;2;-20;1;-20;0;-19;1;-18;2;-19;1;-18;2;-17;3;-17;2;-18;3;-17;2;-18;2;-18;3;-19;2;-18;2;-18;3;-19;3;-20;2;-21;3;-20;2;-21;2;-21;3;-21;4;-22;3;-22;2;-21;2;-20;3;-19;3;-20;4;-21;4;-21;5;-22;6;-23;7;-24;8;-23;8;-23;9;-24;8;-24;8;-25;9;-26;9;-27;9;-27;8;-27;8;-26;8;-27;9;-28;9;-27;8;-26;8;-26
31;-46;32;-47;32;-47;33;-47;33;-46;33;-45;34;-44;33;-44;34;-45;35;-45;34;-46;33;-45;33;-46;33;-45;32;-45;31;-46;31;-46;30;-47;30;-47;31;-48;31;-47;31;-48;30;-48;31;-47;32;-46;32;-45;31;-46;31;-47;31;-47;31;-47;30;-46;31;-45;31;-44;32;-45;33;-46;32;-47;32;-48;33;-49;32;-48;32;-48;33;-47;33;-48;34;-47;35;-47;35;-46;34;-47;33;-46;32;-45;32;-44;33;-45;34;-45;34;-46;35;-47;36;-47;35;-47;34;-47;34;-48;33;-47;34;-46;33;-45
32;2;31;2;31;2;32;1;32;1;33;0;34;0;34;-1;33;-1;33;-2;34;-2;33;-1;33;-2;34;-2;35;-1;36;0;36;1;37;2;36;1;35;0;35;0;34;-1;35;-1;34;0;35;1;35;1;34;1;34;1;35;0;35;0;34;-1;35;0;35;0;36;-1;36;-1;35;-1;34;-2;33;-3;34;-3;34;-3;33;-3;33;-3;34;-2;34;-1;33;-2;34;-1;34;-1;33;-1;32;0;31;-1;32;-1;33;-2;34;-1;34;0;34;1;34;1;34;2;34;2;33;3;34;4
-52;-40;-52;-40;-51;-40;-50;-40;-51;-39;-52;-39;-51;-38;-51;-37;-51;-38;-51;-37;-50;-38;-51;-38;-51;-37;-51;-36;-52;-35;-52;-35;-53;-36;-52;-37;-53;-37;-54;-38;-53;-39;-52;-38;-53;-39;-52;-38;-53;-38;-53;-38;-53;-37;-53;-36;-52;-35;-53;-35;-54;-34;-55;-34;-55;-35;-54;-34;-53;-34;-54;-35;-53;-36;-54;-36;-53;-37;-53;-36;-52;-35;-51;-34;-50;-34;-51;-34;-51;-34;-51;-34;-52;-35;-52;-36;-51;-35;-52;-34;-52;-35;-51;-35;-52;-34;-52;-35;-52;-36;-52;-35;-51;-36;-51;-37;-52;-36;-53;-36
55;38;56;39;55;38;54;39;53;39;52;40;52;41;53;41;54;41;55;41;56;41;55;40;54;41;54;42;54;43;55;44;55;43;55;43;56;42;56;43;56;43;56;44;56;43;56;42;57;43;56;42;56;43;57;42;58;43;57;44;58;43;58;43;57;42;57;43;58;42;58;43;57;44;58;45;59;44;59;43;58;43;59;42;59;41;59;41;60;40;59;41;59;42;58;42;59;43;58;44;57;43;58;43;59;43;60;43;60;42;60;41;60;42;60;41;60;40;60;41
41;-4;42;-4;42;-4;41;-5;40;-4;41;-3;40;-3;39;-4;38;-4;39;-3;40;-3;39;-3;38;-3;39;-4;39;-5;39;-6;39;-7;39;-6;39;-7;40;-7;39;-7;38;-7;38;-6;39;-5;40;-6;40;-7;41;-7;40;-8;40;-9;39;-8;40;-9;41;-8;40;-9;41;-9;42;-10;41;-10;40;-11;41;-10;40;-9;40;-8;39;-9;40;-8;41;-8;42;-8;41;-8;42;-8;43;-7;42;-7;42;-8;41;-8;40;-7;41;-8;40;-9;41;-9;41;-10;40;-11;40;-11;41;-12;41;-11;40;-10
-11;56;-12;57;-12;57;-11;58;-12;57;-12;56;-12;56;-11;56;-11;56;-12;56;-12;55;-11;56;-11;56;-12;57;-11;57;-12;58;-11;59;-10;59;-10;60;-10;60;-11;60;-10;60;-11;60;-10;60;-10;60;-10;60;-9;60;-9;60;-10;59;-11;58;-10;58;-10;57;-11;56;-11;55;-11;54;-12;54;-12;53;-12;52;-11;53;-12;52;-11;52;-10;53;-10;54;-10;54;-9;54;-8;53;-8;52;-7;52;-8;53;-8;54;-8;55;-9;56;-9;55;-8;56;-9;56;-10;55;-11;55;-11;56;-11;57;-11;58
-55;-8;-55;-7;-55;-8;-55;-7;-55;-6;-54;-7;-55;-7;-56;-8;-55;-9;-55;-10;-55;-10;-55;-11;-55;-11;-54;-11;-55;-11;-54;-11;-55;-10;-54;-11;-54;-10;-53;-9;-54;-10;-55;-10;-54;-11;-54;-12;-53;-11;-52;-11;-53;-11;-53;-12;-53;-12;-54;-12;-53;-11;-53;-12;-53;-12;-53;-13;-54;-14;-53;-13;-52;-13;-51;-12;-51;-12;-51;-11;-52;-10;-52;-11;-51;-12;-51;-11;-51;-10;-51;-9;-50;-9;-51;-10;-52;-10;-51;-10;-51;-10;-51;-10;-51;-9;-52;-8;-53;-8;-53;-8;-52;-8;-51;-7;-51;-7;-50;-6
22;-15;21;-16;22;-16;23;-15;23;-15;22;-16;22;-16;23;-15;24;-14;23;-15;23;-14;22;-15;23;-14;24;-13;25;-12;26;-13;27;-12;26;-11;25;-10;24;-9;24;-10;25;-9;24;-9;23;-9;23;-8;23;-9;24;-8;23;-9;24;-8;23;-8;24;-9;25;-9;26;-9;27;-10;26;-11;25;-11;24;-10;23;-11;24;-12;24;-11;23;-10;23;-10;22;-10;23;-11;22;-12;23;-13;23;-14;23;-14;24;-14;24;-15;24;-14;24;-13;23;-14;22;-13;22;-13;23;-12;24;-13;23;-13;23;-13;23;-14
-1;55;-1;54;-1;54;-2;54;-1;53;-2;53;-2;52;-3;53;-3;52;-4;53;-5;54;-4;55;-5;56;-6;57;-6;56;-6;56;-6;55;-6;55;-6;54;-5;54;-6;54;-6;54;-6;53;-5;54;-4;55;-4;55;-3;55;-4;56;-3;57;-4;56;-5;56;-5;57;-6;56;-6;57;-5;56;-4;57;-5;57;-4;56;-3;56;-2;56;-2;55;-3;55;-4;55;-4;56;-5;57;-4;57;-3;57;-4;56;-4;57;-4;58;-5;59;-4;60;-3;60;-2;60;-3;60;-2;60;-1;60;0;59;0;58;1;58
-17;-47;-17;-47;-18;-48;-19;-47;-19;-48;-19;-48;-18;-47;-19;-47;-19;-46;-18;-47;-17;-48;-17;-48;-18;-49;-18;-48;-19;-49;-20;-50;-21;-50;-22;-49;-23;-49;-22;-50;-23;-50;-22;-49;-22;-48;-23;-47;-24;-48;-23;-49;-24;-50;-23;-49;-24;-48;-23;-49;-23;-49;-24;-49;-23;-49;-24;-50;-25;-51;-25;-52;-24;-52;-23;-51;-23;-50;-22;-50;-22;-50;-21;-51;-22;-50;-23;-51;-22;-50;-22;-49;-21;-48;-22;-47;-22;-46;-21;-46;-21;-45;-20;-45;-21;-46;-21;-46;-20;-47;-19;-47;-19;-47;-18;-47;-18;-48;-17;-49
60;39;60;39;60;40;60;41;60;41;60;42;60;41;60;42;60;41;60;41;60;42;60;41;60;42;59;41;58;41;58;42;58;43;58;43;59;43;60;43;60;42;59;42;60;41;60;40;60;39;59;40;59;40;58;41;58;41;58;42;57;42;57;41;57;42;56;43;55;42;56;43;57;44;58;45;57;44;58;43;59;42;59;42;58;42;58;41;59;42;60;43;60;43;60;43;60;42;60;41;60;40;60;41;59;41;60;42;60;43;59;43;59;42;60;42;60;41;60;40
-50;15;-51;14;-50;15;-51;14;-52;13;-51;13;-51;14;-51;13;-50;14;-50;13;-50;14;-51;13;-52;14;-53;13;-52;13;-53;13;-54;13;-53;14;-52;15;-52;14;-51;13;-50;14;-50;13;-50;13;-51;13;-51;14;-51;14;-50;13;-50;14;-49;13;-49;14;-49;14;-50;13;-51;12;-52;12;-51;11;-52;12;-51;13;-51;13;-51;14;-52;15;-51;15;-52;15;-51;14;-51;13;-50;13;-49;12;-49;13;-50;12;-51;12;-52;13;-51;13;-52;12;-53;11;-52;12;-52;11;-51;11;-52;10;-52;9;-52;8
5;-44;4;-45;3;-44;4;-44;4;-43;3;-43;4;-44;3;-43;2;-43;3;-42;2;-41;1;-41;2;-40;3;-40;4;-39;5;-38;6;-39;6;-38;5;-37;4;-36;3;-35;4;-34;5;-35;6;-35;5;-35;4;-34;3;-33;4;-34;3;-35;2;-34;2;-33;3;-34;2;-35;2;-36;3;-37;4;-37;5;-38;4;-38;4;-39;3;-40;4;-40;4;-40;4;-41;3;-40;4;-41;3;-41;3;-41;4;-41;5;-41;6;-41;5;-41;5;-42;6;-41;5;-41;5;-40;4;-41;5;-42;5;-42;5;-43;4;-43
-14;-22;-14;-22;-14;-23;-15;-22;-16;-21;-15;-20;-14;-20;-15;-21;-16;-20;-15;-19;-15;-18;-15;-17;-15;-17;-15;-17;-15;-17;-15;-18;-14;-19;-13;-18;-14;-18;-15;-19;-14;-19;-15;-19;-16;-20;-16;-19;-15;-19;-16;-18;-15;-18;-16;-19;-15;-18;-15;-19;-16;-20;-16;-20;-15;-20;-14;-20;-13;-20;-14;-19;-13;-18;-13;-17;-13;-17;-14;-18;-15;-19;-16;-20;-17;-20;-18;-21;-17;-22;-16;-21;-15;-20;-14;-20;-14;-21;-13;-20;-13;-21;-12;-22;-12;-21;-12;-22;-13;-21;-12;-20;-11;-20;-12;-20;-11;-20;-12;-21
47;-52;46;-51;45;-52;46;-51;46;-52;45;-52;44;-51;44;-51;43;-51;43;-51;42;-51;42;-52;41;-51;42;-50;41;-49;42;-50;43;-51;43;-52;43;-53;43;-53;43;-52;44;-52;43;-51;43;-50;43;-50;43;-50;43;-49;43;-50;43;-50;44;-50;45;-50;46;-50;45;-50;46;-50;46;-51;46;-51;47;-50;46;-49;45;-49;45;-48;46;-47;46;-47;47;-48;46;-49;46;-50;46;-50;47;-50;46;-50;45;-49;46;-50;45;-51;45;-51;44;-52;45;-52;46;-51;47;-52;48;-52;48;-51;48;-52;48;-53
47;38;48;39;48;38;48;39;47;38;46;38;46;37;46;38;47;38;48;37;49;36;50;36;49;37;50;37;49;36;49;35;48;34;49;34;48;35;49;36;48;36;48;37;47;36;47;37;48;38;47;39;46;39;47;40;46;40;45;41;44;42;45;42;45;41;45;40;46;39;45;39;44;38;43;39;43;40;42;41;43;40;44;39;44;40;44;40;43;41;44;41;43;40;44;41;45;41;46;40;47;41;48;40;48;41;48;40;48;41;49;40;49;39;48;38;47;37;46;38
12;16;11;16;11;17;12;16;13;15;14;14;14;15;14;15;14;14;15;15;14;16;14;16;14;17;15;18;15;17;16;17;15;18;14;18;13;18;14;19;13;19;14;20;14;19;15;18;16;18;15;18;15;17;14;17;14;18;15;17;14;16;15;15;14;14;15;13;15;13;14;12;14;13;15;13;15;14;16;15;15;15;14;14;14;13;15;12;14;12;15;12;15;11;16;11;17;12;18;12;18;13;18;12;19;13;19;12;20;13;19;12;18;13;18;13;17;12;16;11
24;18;24;19;23;19;24;19;23;19;22;19;22;18;21;18;21;17;20;18;21;18;21;18;22;19;21;18;20;17;21;18;21;17;21;17;20;16;20;17;20;17;19;18;19;17;19;17;19;17;18;17;17;16;17;16;16;17;16;17;16;16;15;16;15;17;15;16;16;15;15;15;14;16;13;15;13;15;13;15;14;15;14;16;14;16;15;16;15;16;16;16;17;16;18;16;19;15;18;14;19;14;18;13;18;14;18;15;17;15;18;16;19;16;19;15;19;16;18;16
